ID,Mission,Type,Subtype,Weight (g),Pristine (%)
12047,Apollo12,Basalt,Ilmenite,193,33.7
12048,Apollo12,Soil,Unsieved,136,1.01
12050,Apollo12,Breccia,Unclassified,1,0
12051,Apollo12,Basalt,Ilmenite,1660,87.53
12052,Apollo12,Basalt,Pigeonite,1866,86.93
12053,Apollo12,Basalt,Pigeonite,879,46.43
12054,Apollo12,Basalt,Ilmenite,687,90.98
12055,Apollo12,Basalt,Pigeonite,912,26
12056,Apollo12,Basalt,Ilmenite,121,92.46
12057,Apollo12,Soil,Unsieved,650,58.05
12060,Apollo12,Soil,Unsieved,20.7,107.11
12061,Apollo12,Basalt,Ilmenite,9.5,78.23
12062,Apollo12,Basalt,Ilmenite,738.7,97.52
12063,Apollo12,Basalt,Ilmenite,2426,86.38
12064,Apollo12,Basalt,Ilmenite,1214,91.7
12065,Apollo12,Basalt,Pigeonite,2109,64.84
12070,Apollo12,Soil,Unsieved,1102,80.24
12072,Apollo12,Basalt,Olivine,103.6,92.14
12073,Apollo12,Breccia,Regolith,407.7,83.98
12075,Apollo12,Basalt,Olivine,232.5,79.98
12076,Apollo12,Basalt,Olivine,54.55,82.79
12077,Apollo12,Basalt,Olivine,22.63,87.94
14001,Apollo14,Soil,2-4mm,31.8,49.19
14002,Apollo14,Soil,1-2mm,42.1,92.54
14003,Apollo14,Soil,<1mm,947.9,63.03
14004,Apollo14,Soil,4-10mm,33,75.63
14006,Apollo14,Soil,>10mm,12.13,61.29
14007,Apollo14,Breccia,Fragmental,3.67,100
14008,Apollo14,Breccia,Regolith,4.35,100
14009,Apollo14,Breccia,Regolith,1.09,100
14010,Apollo14,Breccia,Regolith,1,73.2
14011,Apollo14,Breccia,Regolith,0.68,100
14041,Apollo14,Breccia,Regolith,166.3,97.46
14042,Apollo14,Breccia,Regolith,103.2,92.55
14043,Apollo14,Breccia,Unclassified,5.94,0
14045,Apollo14,Breccia,Regolith,65.24,95.82
14047,Apollo14,Breccia,Regolith,242,65.25
14049,Apollo14,Breccia,Regolith,200.1,78.23
14051,Apollo14,Breccia,ImpactMelt,191.3,97.49
14053,Apollo14,Basalt,Feldspathic,251.3,59.18
14055,Apollo14,Breccia,Regolith,111,88.76
14056,Apollo14,Breccia,Regolith,6.38,100
14057,Apollo14,Breccia,Regolith,5.51,100
14058,Apollo14,Breccia,Regolith,4.53,100
14059,Apollo14,Breccia,Regolith,8.68,49.19
14060,Apollo14,Breccia,Unclassified,2.5,100
14061,Apollo14,Breccia,Regolith,3.11,100
14063,Apollo14,Breccia,Fragmental,135.5,61.74
14064,Apollo14,Breccia,Fragmental,107.5,92.45
14066,Apollo14,Breccia,Fragmental,509.8,78.44
14068,Apollo14,Breccia,ImpactMelt,35.47,77.97
14069,Apollo14,Breccia,Fragmental,24.87,97.01
14070,Apollo14,Breccia,Fragmental,36.56,83.12
14071,Apollo14,Basalt,Unclassified,2.16,79.17
14072,Apollo14,Basalt,Olivine,45.06,55.37
14073,Apollo14,Basalt,KREEP,10.35,33.62
14074,Apollo14,Basalt,Feldspathic,5.16,87.54
14075,Apollo14,Breccia,Feldspathic,4.66,77.58
14076,Apollo14,Breccia,Fragmental,2,70.3
14077,Apollo14,Basalt,Feldspathic,2.77,82.85
14078,Apollo14,Basalt,Feldspathic,8.3,86.12
14079,Apollo14,Basalt,Feldspathic,3.17,92.71
14080,Apollo14,Breccia,Fragmental,1.94,100
14081,Apollo14,Breccia,Fragmental,0.84,100
14082,Apollo14,Breccia,Fragmental,62.63,84.63
14083,Apollo14,Breccia,Fragmental,13.37,19.93
14140,Apollo14,Soil,4-10mm,7.43,91.36
14141,Apollo14,Soil,<1mm,28.5,46.94
14142,Apollo14,Soil,1-2mm,5.35,62.24
14143,Apollo14,Soil,2-4mm,6.73,51.04
14144,Apollo14,Soil,Unsieved,4.77,11.3
14145,Apollo14,Soil,4-10mm,0.92,80.44
14146,Apollo14,Soil,1-2mm,2.82,75.18
14147,Apollo14,Soil,2-4mm,1.67,79.04
14148,Apollo14,Soil,<1mm,71.65,70.56
14149,Apollo14,Soil,<1mm,88.15,79.57
14150,Apollo14,Soil,4-10mm,11.08,85.33
14151,Apollo14,Soil,1-2mm,11.7,58.28
14152,Apollo14,Soil,2-4mm,11.39,49.68
14153,Apollo14,Soil,2-4mm,3.91,77.85
14154,Apollo14,Soil,1-2mm,5.49,83.92
14155,Apollo14,Soil,4-10mm,3.69,90.16
14156,Apollo14,Soil,<1mm,138,84.69
14160,Apollo14,Soil,4-10mm,196.5,91.89
14161,Apollo14,Soil,2-4mm,197.1,67.57
14162,Apollo14,Soil,1-2mm,288.7,81.13
14163,Apollo14,Soil,<1mm,4444,94.51
14165,Apollo14,Soil,<1mm,109.1,97.62
14166,Apollo14,Soil,1-2mm,20.5,66.68
14167,Apollo14,Soil,2-4mm,26.5,55.06
14168,Apollo14,Soil,4-10mm,43.9,75.7
14169,Apollo14,Breccia,Fragmental,78.66,96.9
14170,Apollo14,Breccia,Fragmental,26.34,94.84
14171,Apollo14,Breccia,Fragmental,37.79,72.69
14172,Apollo14,Breccia,Fragmental,32.1,94.24
14173,Apollo14,Breccia,Fragmental,19.59,99.29
14174,Apollo14,Breccia,Fragmental,11.62,93.98
14175,Apollo14,Breccia,Fragmental,7.48,92.91
14176,Apollo14,Breccia,Fragmental,4.12,98.3
14177,Apollo14,Breccia,Fragmental,2.32,99.14
14178,Apollo14,Breccia,Fragmental,2.88,90.28
14179,Apollo14,Breccia,Fragmental,3.03,86.77
14180,Apollo14,Breccia,Fragmental,4.75,96.84
14181,Apollo14,Breccia,Fragmental,2.48,88.19
14182,Apollo14,Breccia,Fragmental,2.29,96.94
14183,Apollo14,Breccia,Fragmental,1.4,99.29
14184,Apollo14,Breccia,Fragmental,1.48,98.65
14185,Apollo14,Breccia,Fragmental,1.52,94.74
14186,Apollo14,Breccia,Fragmental,1.26,99.21
14187,Apollo14,Breccia,Fragmental,1.09,99.08
14188,Apollo14,Breccia,Fragmental,1.6,98.75
14190,Apollo14,Soil,<1mm,34.85,95.15
14191,Apollo14,Soil,1-2mm,5.92,79.05
14192,Apollo14,Soil,2-4mm,8.06,88.34
14193,Apollo14,Soil,4-10mm,11.15,81.53
14194,Apollo14,Breccia,Fragmental,4.28,89.67
14195,Apollo14,Breccia,Fragmental,2.77,94.58
14196,Apollo14,Breccia,Fragmental,3.93,100
14197,Apollo14,Breccia,ImpactMelt,1.63,90.8
14198,Apollo14,Breccia,ImpactMelt,1.63,86.2
14199,Apollo14,Breccia,Fragmental,1.88,62.98
14200,Apollo14,Basalt,Feldspathic,1.24,77.82
14201,Apollo14,Breccia,Fragmental,1.56,100
14210,Apollo14,Core,Unsieved,169.7,71.6
14211,Apollo14,Core,Unsieved,39.5,77.75
14220,Apollo14,Core,Unsieved,80.7,62.8
14230,Apollo14,Core,Unsieved,76.7,40.2
14240,Apollo14,Soil,Unsieved,168,53.67
14250,Apollo14,Breccia,Regolith,4.06,87.17
14251,Apollo14,Breccia,Regolith,1.51,73.58
14252,Apollo14,Breccia,Regolith,0.86,59.54
14253,Apollo14,Breccia,Fragmental,1.23,96.59
14254,Apollo14,Breccia,Regolith,1.01,93.07
14255,Apollo14,Breccia,Regolith,22.15,80.88
14256,Apollo14,Soil,4-10mm,13.71,75.09
14257,Apollo14,Soil,2-4mm,30.48,63.27
14258,Apollo14,Soil,1-2mm,64.33,83.63
14259,Apollo14,Soil,<1mm,2352.1,78.59
14260,Apollo14,Soil,<1mm,282.5,97.05
14261,Apollo14,Soil,2-4mm,8.2,0.24
14262,Apollo14,Soil,1-2mm,9.1,77.09
14263,Apollo14,Soil,4-10mm,16.2,87.68
14264,Apollo14,Breccia,Regolith,117.9,98.21
14265,Apollo14,Breccia,Fragmental,65.79,97.22
14266,Apollo14,Breccia,ImpactMelt,6.95,98.14
14267,Apollo14,Breccia,ImpactMelt,54.77,15.75
14268,Apollo14,Breccia,ImpactMelt,23.12,96.8
14269,Apollo14,Breccia,ImpactMelt,17.19,96.28
14270,Apollo14,Breccia,ImpactMelt,25.59,64.6
14271,Apollo14,Breccia,ImpactMelt,97.41,97.88
14272,Apollo14,Breccia,ImpactMelt,46.63,98.78
14273,Apollo14,Breccia,ImpactMelt,22.4,97.81
14274,Apollo14,Breccia,ImpactMelt,15.18,95.98
14275,Apollo14,Breccia,Fragmental,12.46,95.99
14276,Apollo14,Breccia,ImpactMelt,12.75,23.29
14277,Apollo14,Breccia,ImpactMelt,7.59,96.84
14278,Apollo14,Breccia,ImpactMelt,7.6,94.95
14279,Apollo14,Breccia,Fragmental,5.67,97.41
14280,Apollo14,Breccia,ImpactMelt,6.2,97.58
14281,Apollo14,Breccia,ImpactMelt,12.03,89.35
14282,Apollo14,Breccia,Fragmental,1.89,79.42
14283,Apollo14,Breccia,ImpactMelt,1.25,94.8
14284,Apollo14,Breccia,ImpactMelt,1.47,97.96
14285,Apollo14,Breccia,Fragmental,2.23,99.55
14286,Apollo14,Breccia,Fragmental,4.42,39.59
14287,Apollo14,Breccia,Fragmental,1.07,100
14288,Apollo14,Breccia,ImpactMelt,3.44,100.58
14290,Apollo14,Soil,<1mm,23.63,92.65
14291,Apollo14,Soil,1-2mm,2.12,100
14292,Apollo14,Soil,2-4mm,3.53,100
14293,Apollo14,Soil,4-10mm,5.2,89.23
14294,Apollo14,Breccia,Fragmental,3.43,100
14295,Apollo14,Breccia,Fragmental,1.24,100
14296,Apollo14,Breccia,Fragmental,2.26,100
14297,Apollo14,Breccia,Fragmental,1.73,74.57
14298,Apollo14,Soil,<1mm,116.7,54.15
14299,Apollo14,Soil,<1mm,225.2,99.73
14301,Apollo14,Breccia,Regolith,1361,76.54
14303,Apollo14,Breccia,Fragmental,898.4,76.23
14304,Apollo14,Breccia,ImpactMelt,2499,97.12
14305,Apollo14,Breccia,Fragmental,2498,76.67
14306,Apollo14,Breccia,Fragmental,584.5,129.14
14307,Apollo14,Breccia,Regolith,155,58.85
14309,Apollo14,Breccia,Regolith,42.4,95.72
14310,Apollo14,Breccia,ImpactMelt,3439,68.47
14311,Apollo14,Breccia,ImpactMelt,3204,89.27
14312,Apollo14,Breccia,Fragmental,299,89.42
14313,Apollo14,Breccia,Regolith,144,72.34
14314,Apollo14,Breccia,Fragmental,115.7,93.54
14315,Apollo14,Breccia,Regolith,115,84.43
14316,Apollo14,Breccia,Regolith,38.2,96.87
14317,Apollo14,Breccia,Regolith,16.1,95.59
14318,Apollo14,Breccia,Regolith,600.2,72.74
14319,Apollo14,Breccia,Fragmental,211.6,75.21
14320,Apollo14,Breccia,Fragmental,64.9,92.33
14321,Apollo14,Breccia,Fragmental,8998,72.74
14411,Apollo14,Core,Unsieved,5.53,1.81
14414,Apollo14,Core,Unsieved,5.46,1.83
14421,Apollo14,Soil,Unsieved,260.9,59.52
14422,Apollo14,Soil,<1mm,2400,97.24
14425,Apollo14,Breccia,Glass,0.79,0
14426,Apollo14,Breccia,Fragmental,1.59,100
14427,Apollo14,Breccia,Fragmental,4.47,100
14428,Apollo14,Breccia,ImpactMelt,1.47,95.92
14429,Apollo14,Breccia,ImpactMelt,3.03,97.03
14430,Apollo14,Breccia,Fragmental,4.81,90.48
14431,Apollo14,Breccia,ImpactMelt,1.7,50.65
14432,Apollo14,Breccia,Unclassified,1.81,69.61
14433,Apollo14,Breccia,Fragmental,1.23,60.16
14434,Apollo14,Breccia,Fragmental,1.68,67.8
14435,Apollo14,Breccia,Fragmental,0.92,96.74
14436,Apollo14,Breccia,ImpactMelt,3.76,92.55
14437,Apollo14,Breccia,Unclassified,2.65,100
14438,Apollo14,Breccia,Unclassified,3.35,100
14439,Apollo14,Breccia,Regolith,1,100
14440,Apollo14,Breccia,ImpactMelt,1.5,81.87
14441,Apollo14,Breccia,Fragmental,0.23,100
14442,Apollo14,Breccia,Unclassified,3.52,100
14443,Apollo14,Breccia,ImpactMelt,2.54,80.79
14444,Apollo14,Breccia,ImpactMelt,1.56,92.31
14445,Apollo14,Breccia,Fragmental,9.22,95.44
14446,Apollo14,Breccia,Fragmental,0.82,61.59
14447,Apollo14,Breccia,Fragmental,0.91,100
14448,Apollo14,Breccia,Agglomerate,1.06,100
14449,Apollo14,Breccia,Fragmental,1.7,100
14450,Apollo14,Breccia,Fragmental,1.27,100
14451,Apollo14,Breccia,Fragmental,2.1,91.9
14452,Apollo14,Breccia,Fragmental,1.77,100
14453,Apollo14,Breccia,Fragmental,6.03,86.22
15001,Apollo15,Core,Unsieved,232.8,54.58
15002,Apollo15,Core,Unsieved,210.1,64.13
15003,Apollo15,Core,Unsieved,223,68.38
15004,Apollo15,Core,Unsieved,227.9,62.85
15005,Apollo15,Core,Unsieved,239.1,60.92
15006,Apollo15,Core,Unsieved,210.6,67.04
15007,Apollo15,Core,Unsieved,768.2,76.88
15008,Apollo15,Core,Unsieved,510.2,76.63
15009,Apollo15,Core,Unsieved,622,75.78
15010,Apollo15,Core,Unsieved,740.4,78.93
15011,Apollo15,Core,Unsieved,660.7,77.3
15012,Apollo15,Soil,Unsieved,312.2,5.77
15013,Apollo15,Soil,Unsieved,296.2,8.8
15014,Apollo15,Special,,333.2,100
15015,Apollo15,Breccia,Regolith,4770,82.69
15016,Apollo15,Basalt,Olivine,923.7,75.49
15017,Apollo15,Breccia,Glass,9.8,69.02
15018,Apollo15,Breccia,Unclassified,5.7,100
15019,Apollo15,Breccia,Agglomerate,1.2,55.83
15020,Apollo15,Soil,Unsieved,88.7,98.87
15021,Apollo15,Soil,<1mm,503,78.66
15022,Apollo15,Soil,1-2mm,10,75.3
15023,Apollo15,Soil,2-4mm,5,78
15024,Apollo15,Soil,4-10mm,3.6,106.11
15025,Apollo15,Breccia,Regolith,77.3,91.23
15026,Apollo15,Breccia,Regolith,1.1,81.36
15027,Apollo15,Breccia,Regolith,51,97.29
15028,Apollo15,Breccia,Regolith,59.4,95.29
15030,Apollo15,Soil,Unsieved,75.3,99.87
15031,Apollo15,Soil,<1mm,207.8,73.95
15032,Apollo15,Soil,1-2mm,7,81.61
15033,Apollo15,Soil,2-4mm,6.6,100
15034,Apollo15,Soil,4-10mm,7,96
15040,Apollo15,Soil,Unsieved,113.4,99.84
15041,Apollo15,Soil,<1mm,269.6,78.16
15042,Apollo15,Soil,1-2mm,5.1,84.51
15043,Apollo15,Soil,2-4mm,2.8,96.39
15044,Apollo15,Soil,4-10mm,1.5,90
15058,Apollo15,Basalt,Pigeonite,2672,65.73
15059,Apollo15,Breccia,Regolith,1149,82.92
15065,Apollo15,Basalt,Pigeonite,1475,88.68
15070,Apollo15,Soil,Unsieved,51.3,99.71
15071,Apollo15,Soil,<1mm,100.7,48.02
15072,Apollo15,Soil,1-2mm,3,51.67
15073,Apollo15,Soil,2-4mm,1.4,100
15074,Apollo15,Soil,4-10mm,1.3,85.62
15075,Apollo15,Basalt,Pigeonite,809.3,55.95
15076,Apollo15,Basalt,Pigeonite,400.5,85.6
15080,Apollo15,Soil,Unsieved,73.5,85.47
15081,Apollo15,Soil,<1mm,106.9,77.93
15082,Apollo15,Soil,1-2mm,2,66
15083,Apollo15,Soil,2-4mm,1.8,63.89
15084,Apollo15,Soil,4-10mm,1.1,57.27
15085,Apollo15,Basalt,Pigeonite,471.3,85.18
15086,Apollo15,Breccia,Regolith,216.5,51.06
15087,Apollo15,Basalt,Pigeonite,5.7,100
15088,Apollo15,Breccia,Regolith,1.8,100
15090,Apollo15,Soil,Unsieved,39.3,99.41
15091,Apollo15,Soil,<1mm,162.9,88.06
15092,Apollo15,Soil,1-2mm,2.7,90.74
15093,Apollo15,Soil,2-4mm,0.6,100
15095,Apollo15,Breccia,Unstudied,25.5,93.37
15100,Apollo15,Soil,Unsieved,281,90.49
15101,Apollo15,Soil,<1mm,637.6,88.32
15102,Apollo15,Soil,1-2mm,12.2,76.53
15103,Apollo15,Soil,2-4mm,4.1,62.93
15104,Apollo15,Soil,4-10mm,1.5,86.2
15105,Apollo15,Basalt,Olivine,5.6,86.07
15115,Apollo15,Basalt,Pigeonite,4,85.5
15116,Apollo15,Basalt,Pigeonite,7.2,89.65
15117,Apollo15,Basalt,Pigeonite,23.3,78.67
15118,Apollo15,Basalt,Pigeonite,27.6,91.4
15119,Apollo15,Basalt,Olivine,14.1,74.07
15125,Apollo15,Basalt,Pigeonite,6.5,86.12
15135,Apollo15,Breccia,Regolith,1.6,0
15145,Apollo15,Breccia,Regolith,15.1,87.75
15146,Apollo15,Breccia,Regolith,1,80
15147,Apollo15,Breccia,Regolith,3.7,100
15148,Apollo15,Breccia,Regolith,3,100
15200,Apollo15,Soil,Unsieved,7.7,100
15201,Apollo15,Soil,<1mm,18.3,88.77
15202,Apollo15,Soil,1-2mm,0.4,75
15203,Apollo15,Soil,2-4mm,0.2,180
15204,Apollo15,Soil,4-10mm,0.1,80
15205,Apollo15,Breccia,Regolith,337.3,24.7
15206,Apollo15,Breccia,ImpactMelt,92,62.24
15210,Apollo15,Soil,Unsieved,221.2,94.53
15211,Apollo15,Soil,<1mm,163.5,88.28
15212,Apollo15,Soil,1-2mm,3.6,88.61
15213,Apollo15,Soil,2-4mm,2.4,100
15214,Apollo15,Soil,4-10mm,0.2,70
15220,Apollo15,Soil,Unsieved,160.5,100
15221,Apollo15,Soil,<1mm,290,87.99
15222,Apollo15,Soil,1-2mm,2.4,65.42
15223,Apollo15,Soil,2-4mm,5.8,64.86
15224,Apollo15,Soil,4-10mm,7,68.97
15230,Apollo15,Soil,Unsieved,99.1,100.24
15231,Apollo15,Soil,<1mm,233.9,88.5
15232,Apollo15,Soil,1-2mm,5.2,69.17
15233,Apollo15,Soil,2-4mm,3.8,88.95
15234,Apollo15,Soil,4-10mm,1.8,88.39
15240,Apollo15,Soil,Unsieved,67.1,92.52
15241,Apollo15,Soil,<1mm,197.4,97.07
15242,Apollo15,Soil,1-2mm,18.9,100
15243,Apollo15,Soil,2-4mm,31.8,51.03
15244,Apollo15,Soil,4-10mm,32.6,94.33
15245,Apollo15,Breccia,Regolith,115.5,91.76
15250,Apollo15,Soil,Unsieved,207,98.96
15251,Apollo15,Soil,<1mm,380.9,96.11
15252,Apollo15,Soil,1-2mm,8.3,80.72
15253,Apollo15,Soil,2-4mm,4,100
15254,Apollo15,Soil,4-10mm,1.2,100
15255,Apollo15,Breccia,Regolith,240.4,88.38
15256,Apollo15,Basalt,Olivine,201,85.93
15257,Apollo15,Breccia,Regolith,22.5,97.8
15259,Apollo15,Breccia,Regolith,0.7,100
15260,Apollo15,Soil,Unsieved,172.2,96.43
15261,Apollo15,Soil,<1mm,416.6,89.67
15262,Apollo15,Soil,1-2mm,9,87.67
15263,Apollo15,Soil,2-4mm,6.7,70.75
15264,Apollo15,Soil,4-10mm,4.5,87.49
15265,Apollo15,Breccia,Regolith,314.1,79.58
15266,Apollo15,Breccia,Regolith,271.4,93.91
15267,Apollo15,Breccia,Regolith,1.8,106.5
15268,Apollo15,Breccia,Regolith,11,81.26
15269,Apollo15,Breccia,Regolith,6,0
15270,Apollo15,Soil,Unsieved,319,95.05
15271,Apollo15,Soil,<1mm,798.3,81.26
15272,Apollo15,Soil,1-2mm,20.7,67.87
15273,Apollo15,Soil,2-4mm,13.7,12.41
15274,Apollo15,Soil,4-10mm,4.4,87.96
15285,Apollo15,Breccia,Regolith,264.2,90.87
15286,Apollo15,Breccia,Agglomerate,34.6,89.87
15287,Apollo15,Breccia,Regolith,44.9,84.77
15288,Apollo15,Breccia,Regolith,70.5,93.16
15289,Apollo15,Breccia,Regolith,24.1,87.63
15290,Apollo15,Soil,Unsieved,55,90.91
15291,Apollo15,Soil,<1mm,169,94.02
15292,Apollo15,Soil,1-2mm,5.4,79.85
15293,Apollo15,Soil,2-4mm,6.7,100
15294,Apollo15,Soil,4-10mm,10.2,99.9
15295,Apollo15,Breccia,Regolith,947.3,96.76
15297,Apollo15,Breccia,Regolith,34.9,90.69
15298,Apollo15,Breccia,Regolith,1731,97.77
15299,Apollo15,Breccia,Regolith,1692,94.79
15300,Apollo15,Soil,Unsieved,390.7,98.2
15301,Apollo15,Soil,<1mm,810.2,75.93
15302,Apollo15,Soil,1-2mm,23.2,72.78
15303,Apollo15,Soil,2-4mm,12.7,74.85
15304,Apollo15,Soil,4-10mm,7.3,28.67
15356,Apollo15,Breccia,ImpactMelt,2,61.3
15357,Apollo15,Breccia,ImpactMelt,11.8,82.42
15358,Apollo15,Breccia,ImpactMelt,14.6,86.94
15359,Apollo15,Breccia,ImpactMelt,4.2,82.5
15360,Apollo15,Breccia,Regolith,9.3,91.72
15361,Apollo15,Crustal,Cataclastic,0.9,66.56
15362,Apollo15,Crustal,Cataclastic,4.2,56.88
15363,Apollo15,Crustal,Cataclastic,0.5,71
15364,Apollo15,Breccia,Fragmental,1.5,67.53
15365,Apollo15,Breccia,Clod,2.9,77.59
15366,Apollo15,Breccia,Clod,3.3,61.82
15367,Apollo15,Breccia,Clod,1.1,0
15368,Apollo15,Breccia,Clod,0.4,0
15369,Apollo15,Breccia,Clod,2.5,66
15370,Apollo15,Breccia,Clod,2.9,73.17
15371,Apollo15,Breccia,Clod,0.5,0
15372,Apollo15,Breccia,Clod,0.8,0
15373,Apollo15,Breccia,Clod,0.6,0
15374,Apollo15,Breccia,Clod,1,0
15375,Apollo15,Breccia,Clod,0.4,0
15376,Apollo15,Breccia,Clod,1,39
15377,Apollo15,Breccia,Clod,0.5,0
15378,Apollo15,Breccia,Regolith,3.3,80.79
15379,Apollo15,Basalt,Olivine,64.3,83.06
15380,Apollo15,Basalt,Olivine,5.2,83.21
15381,Apollo15,Basalt,Olivine,0.3,100
15382,Apollo15,Basalt,KREEP,3.2,52.06
15383,Apollo15,Breccia,Agglomerate,1.4,82.86
15384,Apollo15,Basalt,Olivine,1.4,13.57
15385,Apollo15,Basalt,Olivine,8.7,56.37
